rosbagTimestamp,error,position_0
1534428891341579385,"""echo",
1534428893339086221,"""echo",
1534428895342999982,"""echo",
1534428897342093874,"""echo",
1534428899341315249,"""echo",
1534428901344131392,"""echo",
1534428902553531166,"""X",0.0,0.0,0.0
1534428902555996165,"""ok""",
1534428922009790562,"""X",0.0,0.0,0.0
1534428922012219777,"""ok""",
1534428922020722975,"""ok""",
1534428922028944004,"""ok""",
1534428923037002945,"""ok""",
1534428923049512071,"""X",0.0,0.0,0.0
1534428923051842171,"""ok""",
1534428923065227414,"""ok""",
1534428925073166564,"""echo",
1534428927076094651,"""echo",
1534428929075166019,"""echo",
1534428929940210515,"""X",500.0,140.0,200.0
1534428929942576881,"""ok""",
1534428929950566390,"""ok""",
1534428930508316216,"""ok""",
1534428930521385495,"""ok""",
1534428932528426660,"""echo",
1534428933008383951,"""X",500.0,140.0,0.0
1534428933010645053,"""ok""",
1534428933015867984,"""echo",
1534428933018564723,"""ok""",
1534428935026954073,"""echo",
1534428936025875529,"""ok""",
1534428936037877007,"""ok""",
1534428938045682207,"""echo",
1534428938529460538,"""X",500.0,140.0,200.0
1534428938531761981,"""ok""",
1534428938540503990,"""ok""",
1534428940548638764,"""echo",
1534428942550984505,"""echo",
1534428942553121335,"""ok""",
1534428942562692986,"""ok""",
1534428942571032777,"""ok""",
1534428943579159751,"""ok""",
1534428943591967252,"""X",500.0,140.0,200.0
1534428943593523212,"""ok""",
1534428943602970625,"""ok""",
1534428943616224511,"""X",500.0,140.0,200.0
1534428943618390121,"""ok""",
1534428943627827883,"""ok""",
1534428944185389739,"""ok""",
1534428944196915490,"""ok""",
1534428946205329074,"""echo",
1534428946685597121,"""X",500.0,140.0,0.0
1534428946687763877,"""ok""",
1534428946697081369,"""ok""",
1534428948703987240,"""echo",
1534428949702866388,"""ok""",
1534428949715001643,"""ok""",
1534428951722890322,"""echo",
1534428952206547188,"""X",500.0,140.0,200.0
1534428952208895773,"""ok""",
1534428952217251745,"""ok""",
1534428954225515028,"""echo",
