rosbagTimestamp,message
1534431069512217460,"""G28"""
1534431074892660018,"""G28"""
1534431076103899885,"""G1 F5000.0"""
1534431076111787365,"""M107 P0"""
1534431076120652161,"""G4 P1000"""
1534431077128574025,"""M114"""
1534431077143976701,"""G1 X500.0 Y140 Z200.0"""
1534431077156809337,"""M114"""
1534431084034002081,"""M107 P0"""
1534431084042503496,"""G4 P550"""
1534431084600135227,"""G1 X500.0 Y140 Z0.0"""
1534431084611949944,"""M114"""
1534431087101821367,"""M106 P0"""
1534431087110504919,"""G4 P3000"""
1534431090117913167,"""G1 X500.0 Y140 Z200.0"""
1534431090129552236,"""M114"""
1534431092623241068,"""M107 P0"""
1534431092631720974,"""G4 P4000"""
1534431096639037280,"""G1 F5000.0"""
1534431096646269489,"""M107 P0"""
1534431096654229808,"""G4 P1000"""
1534431097662904304,"""M114"""
1534431097678178891,"""G1 X500.0 Y140 Z200.0"""
1534431097685660685,"""M114"""
1534431097702253779,"""M107 P0"""
1534431097711061823,"""G4 P550"""
1534431098268844908,"""G1 X500.0 Y140 Z0.0"""
1534431098280489554,"""M114"""
1534431100771493169,"""M106 P0"""
1534431100779418669,"""G4 P3000"""
1534431103786226109,"""G1 X500.0 Y140 Z200.0"""
1534431103798594678,"""M114"""
1534431106291911179,"""M107 P0"""
1534431106300353037,"""G4 P4000"""
1534431110307513864,"""G1 F5000.0"""
1534431110315255828,"""M107 P0"""
1534431110323469302,"""G4 P1000"""
1534431111331188715,"""M114"""
1534431111347189883,"""G1 X500.0 Y140 Z200.0"""
1534431111354572808,"""M114"""
1534431111369388017,"""M107 P0"""
1534431111375615493,"""G4 P550"""
1534431111933970041,"""G1 X500.0 Y140 Z0.0"""
1534431111945449376,"""M114"""
1534431114435748483,"""M106 P0"""
1534431114443151145,"""G4 P3000"""
1534431117451322513,"""G1 X500.0 Y140 Z200.0"""
1534431117463043572,"""M114"""
1534431119956960591,"""M107 P0"""
1534431119965678052,"""G4 P4000"""
1534431123976045032,"""G1 F5000.0"""
1534431123984006090,"""M107 P0"""
1534431123991269797,"""G4 P1000"""
1534431124999698460,"""M114"""
1534431125015795373,"""G1 X500.0 Y140 Z200.0"""
1534431125023708341,"""M114"""
1534431125039630823,"""M107 P0"""
1534431125050149948,"""G4 P550"""
1534431125606629915,"""G1 X500.0 Y140 Z0.0"""
1534431125618482203,"""M114"""
1534431128109350482,"""M106 P0"""
1534431128116342528,"""G4 P3000"""
1534431131125316863,"""G1 X500.0 Y140 Z200.0"""
1534431131136199236,"""M114"""
1534431133629694368,"""M107 P0"""
1534431133637815648,"""G4 P4000"""
1534431137645473807,"""G1 F5000.0"""
1534431137652053185,"""M107 P0"""
1534431137660876182,"""G4 P1000"""
1534431138669393584,"""M114"""
1534431138684718886,"""G1 X500.0 Y140 Z200.0"""
1534431138692670568,"""M114"""
1534431138707373631,"""M107 P0"""
1534431138713514778,"""G4 P550"""
1534431139270953524,"""G1 X500.0 Y140 Z0.0"""
1534431139282928575,"""M114"""
1534431141773001986,"""M106 P0"""
1534431141780555533,"""G4 P3000"""
1534431144787655399,"""G1 X500.0 Y140 Z200.0"""
1534431144799698997,"""M114"""
1534431147291070472,"""M107 P0"""
1534431147299348727,"""G4 P4000"""
1534431151310064669,"""G1 F5000.0"""
1534431151317571313,"""M107 P0"""
1534431151325871804,"""G4 P1000"""
1534431152333927959,"""M114"""
1534431152349402240,"""G1 X500.0 Y140 Z200.0"""
1534431152356881286,"""M114"""
1534431152371684211,"""M107 P0"""
1534431152377483177,"""G4 P550"""
1534431152936461492,"""G1 X500.0 Y140 Z0.0"""
1534431152955600880,"""M114"""
1534431155438256295,"""M106 P0"""
1534431155446417455,"""G4 P3000"""
1534431158454024835,"""G1 X500.0 Y140 Z200.0"""
1534431158465635702,"""M114"""
1534431160959190605,"""M107 P0"""
1534431160968215693,"""G4 P4000"""
1534431164981605873,"""G1 F5000.0"""
1534431164990498628,"""M107 P0"""
1534431164997533136,"""G4 P1000"""
1534431166004705835,"""M114"""
1534431166019932889,"""G1 X500.0 Y140 Z200.0"""
1534431166029704142,"""M114"""
1534431166045041741,"""M107 P0"""
1534431166050943612,"""G4 P550"""
1534431166609272485,"""G1 X500.0 Y140 Z0.0"""
1534431166621330924,"""M114"""
1534431169114486618,"""M106 P0"""
1534431169123844098,"""G4 P3000"""
1534431172130997411,"""G1 X500.0 Y140 Z200.0"""
1534431172142704035,"""M114"""
1534431174636647568,"""M107 P0"""
1534431174649756915,"""G4 P4000"""
1534431178656263519,"""G1 F5000.0"""
1534431178663534278,"""M107 P0"""
1534431178670795744,"""G4 P1000"""
1534431179679931319,"""M114"""
1534431179695508098,"""G1 X500.0 Y140 Z200.0"""
1534431179703897928,"""M114"""
1534431179719780931,"""M107 P0"""
1534431179727744205,"""G4 P550"""
1534431180286424577,"""G1 X500.0 Y140 Z0.0"""
1534431180298064789,"""M114"""
1534431182792127231,"""M106 P0"""
1534431182800151093,"""G4 P3000"""
1534431185807825647,"""G1 X500.0 Y140 Z200.0"""
1534431185818001020,"""M114"""
1534431188313321531,"""M107 P0"""
1534431188321595700,"""G4 P4000"""
1534431192328141487,"""M77"""
1534431192336029785,"""M107 P0"""
1534431192344092015,"""M107 P1"""
1534431192351933540,"""M107 P2"""
1534431192360402344,"""M18"""
